year,booksNum
1800,156
1810,178
1820,435
1830,476
1840,865
1850,1087
1860,2020
1870,2208
1880,2875
1890,3393
1900,4717
1910,5817
1920,6854
1930,9530
1940,14881
1950,18062
1960,27873
1970,35359
1980,43896
1990,52280
2000,61046
