year,booksNum
1800,5
1810,14
1820,23
1830,27
1840,42
1850,61
1860,88
1870,84
1880,73
1890,81
1900,106
1910,104
1920,146
1930,172
1940,268
1950,298
1960,424
1970,483
1980,627
1990,798
2000,508
