year,booksNum
1800,1575
1810,1213
1820,2220
1830,2396
1840,3830
1850,5103
1860,6890
1870,5141
1880,6435
1890,7256
1900,9877
1910,11316
1920,12946
1930,18574
1940,28308
1950,31721
1960,50211
1970,68971
1980,86343
1990,114355
2000,147512
