year,booksNum
1800,86
1810,146
1820,372
1830,404
1840,932
1850,963
1860,1665
1870,1688
1880,1954
1890,2181
1900,3323
1910,5383
1920,6446
1930,9592
1940,15280
1950,17815
1960,29337
1970,39178
1980,55558
1990,72871
2000,85676
