year,booksNum
1800,356
1810,280
1820,452
1830,474
1840,709
1850,791
1860,1124
1870,1102
1880,2769
1890,5304
1900,7794
1910,9790
1920,11291
1930,15611
1940,23953
1950,27419
1960,43237
1970,59233
1980,72896
1990,95529
2000,122683
