year,booksNum
1800,976
1810,777
1820,1528
1830,1459
1840,2544
1850,3124
1860,4240
1870,3790
1880,4636
1890,5201
1900,7102
1910,8697
1920,9894
1930,13518
1940,20315
1950,23124
1960,35672
1970,44300
1980,55225
1990,69478
2000,86304
