year,booksNum
1800,394
1810,369
1820,724
1830,820
1840,1825
1850,2298
1860,3593
1870,3173
1880,4175
1890,4665
1900,6473
1910,8079
1920,9282
1930,12724
1940,18142
1950,21098
1960,32838
1970,44756
1980,54040
1990,64272
2000,76010
