year,booksNum
1800,1352
1810,952
1820,1839
1830,1946
1840,3310
1850,3855
1860,5265
1870,3888
1880,4798
1890,5173
1900,7090
1910,8537
1920,9564
1930,13055
1940,19976
1950,22831
1960,35827
1970,49354
1980,60655
1990,77612
2000,95855
