year,booksNum
1800,0
1810,0
1820,0
1830,0
1840,0
1850,0
1860,1
1870,5
1880,1
1890,1
1900,7
1910,0
1920,12
1930,20
1940,19
1950,383
1960,320
1970,1121
1980,13576
1990,28082
2000,36188
