year,booksNum
1800,1
1810,2
1820,2
1830,5
1840,3
1850,10
1860,24
1870,22
1880,35
1890,40
1900,122
1910,53
1920,612
1930,755
1940,643
1950,1693
1960,3800
1970,4465
1980,5796
1990,8555
2000,9803
