year,booksNum
1800,137
1810,276
1820,445
1830,821
1840,1046
1850,1733
1860,2967
1870,3016
1880,3787
1890,5452
1900,7018
1910,4141
1920,4431
1930,5115
1940,4855
1950,15802
1960,33279
1970,37075
1980,41782
1990,37861
2000,38247
