year,booksNum
1800,9
1810,20
1820,18
1830,53
1840,46
1850,81
1860,297
1870,254
1880,305
1890,470
1900,709
1910,369
1920,3129
1930,4364
1940,3979
1950,14241
1960,27208
1970,24906
1980,26643
1990,26477
2000,29419
