year,booksNum
1800,116
1810,250
1820,300
1830,676
1840,825
1850,1293
1860,2609
1870,2732
1880,3545
1890,5085
1900,7189
1910,4457
1920,5604
1930,5905
1940,5304
1950,16128
1960,32771
1970,34084
1980,38289
1990,41306
2000,44524
