year,booksNum
1800,25
1810,42
1820,61
1830,154
1840,210
1850,522
1860,1258
1870,1493
1880,1850
1890,2657
1900,3790
1910,2148
1920,2735
1930,3281
1940,2795
1950,9134
1960,18202
1970,16721
1980,18381
1990,21277
2000,25088
