year,booksNum
1800,72
1810,85
1820,98
1830,255
1840,368
1850,645
1860,1507
1870,1563
1880,1946
1890,2899
1900,3926
1910,2172
1920,2867
1930,4053
1940,3732
1950,12378
1960,30478
1970,33445
1980,35213
1990,28149
2000,25919
