year,booksNum
1800,17
1810,37
1820,39
1830,58
1840,118
1850,145
1860,257
1870,179
1880,181
1890,267
1900,382
1910,232
1920,2589
1930,3723
1940,3542
1950,11037
1960,21893
1970,21578
1980,25320
1990,27378
2000,33376
