year,booksNum
1800,1
1810,1
1820,0
1830,0
1840,0
1850,2
1860,3
1870,5
1880,0
1890,7
1900,25
1910,13
1920,110
1930,289
1940,209
1950,4604
1960,3950
1970,9159
1980,59780
1990,64752
2000,71665
