year,booksNum
1800,0
1810,0
1820,0
1830,0
1840,0
1850,0
1860,0
1870,1
1880,0
1890,0
1900,10
1910,0
1920,5
1930,19
1940,11
1950,916
1960,843
1970,3067
1980,25740
1990,25489
2000,25628
