year,booksNum
1800,0
1810,0
1820,1
1830,0
1840,0
1850,0
1860,0
1870,1
1880,0
1890,0
1900,13
1910,6
1920,24
1930,76
1940,60
1950,1884
1960,1155
1970,2618
1980,30578
1990,40287
2000,42898
