year,booksNum
1800,0
1810,0
1820,0
1830,0
1840,0
1850,1
1860,0
1870,1
1880,2
1890,0
1900,12
1910,0
1920,15
1930,75
1940,38
1950,1249
1960,1074
1970,3003
1980,29492
1990,37719
2000,40277
