year,booksNum
1800,2
1810,0
1820,0
1830,0
1840,0
1850,1
1860,0
1870,2
1880,1
1890,2
1900,19
1910,3
1920,29
1930,63
1940,49
1950,2909
1960,2665
1970,6643
1980,49202
1990,55340
2000,60640
