year,booksNum
1800,0
1810,1
1820,0
1830,0
1840,1
1850,0
1860,2
1870,2
1880,0
1890,0
1900,10
1910,0
1920,7
1930,27
1940,26
1950,2203
1960,2156
1970,4462
1980,35458
1990,36562
2000,40585
