year,booksNum
1800,1
1810,0
1820,0
1830,0
1840,0
1850,0
1860,0
1870,2
1880,2
1890,0
1900,22
1910,2
1920,36
1930,94
1940,149
1950,4929
1960,3771
1970,8936
1980,54399
1990,57514
2000,56070
