year,booksNum
1800,428
1810,542
1820,961
1830,2198
1840,3436
1850,5530
1860,4222
1870,4909
1880,8203
1890,13262
1900,20416
1910,30885
1920,28818
1930,25213
1940,30744
1950,36823
1960,67524
1970,75309
1980,77302
1990,126210
2000,237835
