year,booksNum
1800,2168
1810,3283
1820,5617
1830,11128
1840,14494
1850,22743
1860,18364
1870,21234
1880,33490
1890,49736
1900,65437
1910,67496
1920,52555
1930,41337
1940,39708
1950,48580
1960,89184
1970,96299
1980,94174
1990,142176
2000,395950
