year,booksNum
1800,1937
1810,2971
1820,5141
1830,10162
1840,13571
1850,21995
1860,17843
1870,21406
1880,35109
1890,53405
1900,73528
1910,82325
1920,66982
1930,57146
1940,59955
1950,80538
1960,153579
1970,189807
1980,212620
1990,329451
2000,712243
