year,booksNum
1800,2118
1810,3203
1820,5546
1830,10927
1840,14378
1850,22871
1860,18464
1870,21850
1880,34634
1890,51805
1900,69313
1910,74538
1920,59060
1930,47710
1940,45642
1950,59274
1960,111956
1970,134197
1980,147286
1990,237074
2000,575571
