year,booksNum
1800,1194
1810,1787
1820,3170
1830,6387
1840,8400
1850,13204
1860,10244
1870,11955
1880,18437
1890,27079
1900,35962
1910,38731
1920,32299
1930,28073
1940,29638
1950,40426
1960,83258
1970,99301
1980,103223
1990,156588
2000,303312
