year,booksNum
1800,1757
1810,2543
1820,4465
1830,9054
1840,11878
1850,19296
1860,15573
1870,18558
1880,31157
1890,48291
1900,65735
1910,73553
1920,60429
1930,53971
1940,56846
1950,78146
1960,152925
1970,217760
1980,279443
1990,463238
2000,923968
