year,booksNum
1800,117
1810,168
1820,328
1830,704
1840,1305
1850,2512
1860,2587
1870,3528
1880,7133
1890,12181
1900,18675
1910,22961
1920,20257
1930,19706
1940,19211
1950,25303
1960,49341
1970,57770
1980,63185
1990,102477
2000,204252
