year,booksNum
1800,1338
1810,1961
1820,3241
1830,6374
1840,8441
1850,13405
1860,10788
1870,12545
1880,20267
1890,28873
1900,38933
1910,40666
1920,33956
1930,30896
1940,31384
1950,41154
1960,79377
1970,92760
1980,98570
1990,150846
2000,319090
