year,booksNum
1800,1357
1810,1945
1820,3293
1830,6946
1840,9335
1850,15098
1860,12305
1870,14534
1880,23616
1890,34328
1900,47309
1910,52457
1920,43177
1930,36967
1940,38702
1950,49332
1960,90441
1970,108781
1980,114014
1990,178991
2000,386819
